email_id,subject,from,to,date,message
0,EOL Credit Responses 2/22,molly.harris@enron.com,frank.davis@enron.com,"Tue, 22 Feb 2000 09:39:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 2/22/00.



Regards
Molly"
1,EOL Credit Responses 2/10,molly.harris@enron.com,frank.davis@enron.com,"Thu, 10 Feb 2000 09:39:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 2/10/00.



Regards,
Molly"
2,EOL Credit Responses 3/7,molly.harris@enron.com,frank.davis@enron.com,"Tue, 7 Mar 2000 09:01:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 3/7/00.



Regards
Molly"
3,EOL Credit Responses 1/4,molly.harris@enron.com,frank.davis@enron.com,"Tue, 4 Jan 2000 09:24:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 1/4/00.



Regards
Molly"
4,EOL Credit Responses 12/22,brant.reves@enron.com,frank.davis@enron.com,"Wed, 22 Dec 1999 06:54:00 -0800 (PST)"," tjones.nsf

Please find attached EOL product profile report dated 12-22-99.





thanks
brant"
5,EOL Credit Responses 2/29,molly.harris@enron.com,frank.davis@enron.com,"Tue, 29 Feb 2000 10:02:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 2/29/00.


Regards
Molly"
6,EOL Credit Responses 1/25,molly.harris@enron.com,frank.davis@enron.com,"Tue, 25 Jan 2000 08:57:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 1/25/00. 



Regards
Molly"
7,Energycast,louise.kitchen@enron.com,frank.davis@enron.com,"Thu, 27 Jul 2000 07:00:00 -0700 (PDT)"," vkamins.nsf

Please could you sort out an guest id for one month.
---------------------- Forwarded by Louise Kitchen/HOU/ECT on 27/07/2000 
13:59 ---------------------------


Vince J Kaminski
26/07/2000 09:05
To: Louise Kitchen/HOU/ECT@ECT
cc: Vince J Kaminski/HOU/ECT@ECT 

Subject: Energycast

Louise,

Can we grant him guest access to EOL again? He is he same 
person who requested it a few weeks ago. Evidently he was busy
working on another project.

Vince


---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 07/26/2000 
09:06 AM ---------------------------


""Edward Krapels"" <ekrapels@esaibos.com> on 07/25/2000 11:09:47 AM
Please respond to ekrapels@esaibos.com
To: Vince J Kaminski/HOU/ECT@ECT
cc:  
Subject: Energycast



Dear Vince,

I hope your trip to Australia was successful. It's one of my favorite places
to go.

I've copied you on the email to Mike initiating Enron's trial service to
Energycast. Thanks for helping to set this up.

Would you ask the authorities in Enron to refresh my access to Enrononline?
My Guest User ID as ENA61296 and my guest password was TR84BY13. They no
longer work, probably because I haven't visited the site in months as we
were in full development mode on Energycast.

Vince, you will note in our website references to forward prices of power in
Nepool, NYPP, and PJM. We use Reuters as a reference -- not satisfactory. If
your traders like Energycast and Enron became a client, would Enron consider
linking its prices to our site? We have to improve over the Reuters quotes
and regard Enrononline or Bloomberg as the best candidates. Over time, as
our service spreads I believe this could help generate deal flow for your
traders.

Let me know what you think.

Ed



"
8,EOL Credit Responses 1/31,molly.harris@enron.com,frank.davis@enron.com,"Mon, 31 Jan 2000 09:04:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 1/31/00.



Regards
Molly
"
9,EOL Credit Responses 3/13,molly.harris@enron.com,frank.davis@enron.com,"Mon, 13 Mar 2000 09:26:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 3/13/00.



Regards
Molly"
10,Power Financial Trading Limitations,tana.jones@enron.com,frank.davis@enron.com,"Fri, 11 Feb 2000 07:49:00 -0800 (PST)"," mtaylor.nsf

I went through our Lotus Notes Master Swap Agreement Database and determined 
that the following masters do not permit power:

The Bakersfield Californian    newprint only
Bayerische Hypo-und Vereinsbank AG   no commodity transactions
CGAS, Inc.      natural gas only (are currently shut down for trading because 
authority certificate only covered one trade)
Coastal Gas Marketing Company   natural gas transactions only
Credit Lyonnais New York Branch (AAA Program) no commodity transactions
E.W. Scripps Company (The)    48.8 gram newsprint swaps only
Lehman Brothers Special Financing, Inc.   no commodity transactions.  Weather 
is ok
Mellon Bank NA     FX and currency option transactions only
Midland Bank plc     FX and currency option transactions only
National Westminster Bank    FX and currency option transactions only
Palladium Insurance Limited    weather only
Phibro, Inc.      energy price swaps based on fixed and floating prices of 
natural gas, crude oil or oil products and/or call        and put options 
based on the prices of natural gas, crude oil or oil products

Praxair, Inc.      natural gas only
PXRE Corporation     weather only
St. Paul Re (Bermuda) Ltd.    weather only
Tempest Reinsurance Company Limited  weather only
Westdeutsche Landesbank Gironzentrale  FX and currency option transactions 
only"
11,,brant.reves@enron.com,frank.davis@enron.com,"Fri, 17 Dec 1999 09:06:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 12/17.
"
12,Enron Online Access & ISDA's - ALCOA,brian.flaherty@enron.com,frank.davis@enron.com,"Tue, 22 Aug 2000 23:45:00 -0700 (PDT)"," mtaylor.nsf

To all,

One of our customers, ALCOA, has been registered on EOL for the OTC metal 
products, but is having problems accessing the trading site.

The problem stems from two areas:

1) When ALCOA accesses the trading site,  the prompt for Enron's terms and 
conditions comes up with a further prompt to agree or disagree to the 
conditions.  ALCOA's legal team has determined that they should not agree to 
the conditions because they have an existing ISDA agreement in place with MG 
Ltd.

2) ALCOA has talked to EOL's help desk (specifically Kathy Moore), who 
subsequently has determined (I assume with Enron legal) that the current ISDA 
in place with MG Ltd. is sufficient to begin trading EOL's OTC metal products.

In further discussions I had with Mark Taylor today,  he basically confirmed 
that the ISDA that's in place is valid for EOL's OTC metal products, but said 
that I should confirm with either Edmund Cooper or Justin Boyd in London for 
final confirmation of the legal questions, and Frank Davis for the EOL access.

In addition, Mark alluded to the probability that Enron legal/compliance does 
not have a listing and/or copies of ISDA's that MG Ltd. has in place with 
customers.  If you'd like, I can help facilitate that.  Please advise.

Could you confirm for me the following via telephone and/or e-mail:

1) That the current ISDA ALCOA has in place is valid for EOL's OTC metal 
product trading.

2) That their account can access the site without the term and conditions 
prompt.

Please contact me if you have any further questions or concerns.

Regards,
BEF 



Brian Flaherty
Vice President
MG London Inc.
520 Madison Avenue
28th Floor
New York, NY 10022
Tel: 212.715.2344
Fax: 212.715.2360
E-mail: brian.flaherty@mglondon.com
"
13,EOL Responses,rhonda.denton@enron.com,frank.davis@enron.com,"Fri, 18 Aug 2000 03:29:00 -0700 (PDT)"," tjones.nsf

Leslie is out of the office so I am responding for EOL Thursday and Friday 
CPs:
THURSDAY:

 This is a current physical power CP.  Leslie will send you a form of 
override letter on Monday.  Use GTC

The following are not current physical power CPs and not FERC approved:

Murchison Oil & Gas, Inc.




FRIDAY:
The following is not a current physical power CP and not FERC approved:


This CP was declined:


Let me know if you have questions or contact Leslie on Monday."
14,EOL Credit Responses 12/20,molly.harris@enron.com,frank.davis@enron.com,"Mon, 20 Dec 1999 09:15:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 12/20.



Regards
Molly"
15,EOL Credit Responses 2/3,molly.harris@enron.com,frank.davis@enron.com,"Thu, 3 Feb 2000 09:38:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 2/3/00.




Regards
Molly
"
16,EOL Credit Responses 1/5,molly.harris@enron.com,frank.davis@enron.com,"Wed, 5 Jan 2000 08:26:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 1/5/00.



Regards
Molly
"
17,EOL Credit Responses 12/21,molly.harris@enron.com,frank.davis@enron.com,"Tue, 21 Dec 1999 09:11:00 -0800 (PST)"," tjones.nsf

Please find attached Credit's EOL responses for 12/21.



Regards
Molly
"
18,"Amended ETA-Koch Energy Trading, Inc.",tana.jones@enron.com,frank.davis@enron.com,"Wed, 29 Dec 1999 08:14:00 -0800 (PST)"," mtaylor.nsf

We have received the signed faxed copy of the Letter Agreement dated 12/28/99 
amending the ETA for the referenced counterparty.  Copies will be distributed."
19,Priority Locker Selection-Men's,body.shop@enron.com,frank.davis@enron.com,"Tue, 12 Dec 2000 08:33:00 -0800 (PST)"," cgerman.nsf

In anticipation of re-opening, you have an opportunity to pre-select your new 
locker location.  All active Body Shop members who had a permanent locker at 
the time of the September 1st construction close have been given first 
consideration when selecting their new locker location before December 29th.  
 Priority will be given to member's original locker location (i.e. a member 
who requests their original locker area will be given priority for that 
space).  After this date lockers will be distributed to members on the 
waiting list and to member's with permanent lockers who request a different 
space from their original locker area.   For your convenience, a Body Shop 
enrolment and locker request table will be in the lobby from December 18th 
through January 5th between the hours of 11am - 1:30pm. 



Follow these simple steps to secure your locker location:
Open and review the attached Men's Locker Design template.
Select your 1st, 2nd, and 3rd choice location preference.
Complete the Locker Selection Request Form.  
Complete and Sign the Locker Payroll Deduction Form.
Return all completed forms before December 29th to the Body Shop at EB1355, 
drop off at our offices on EB1372 or at the Body Shop Table in the lobby from 
December 18th through January 5th between the hours of 11am - 1:30pm.

You will receive an e-mail notifying you of your new locker location and 
locker combination prior to re-opening.  If you have any questions, please 
contact the Body Shop Front Desk at  x35547."
20,Inclement weather/Disaster recovery,sheri.thomas@enron.com,frank.davis@enron.com,"Sat, 16 Sep 2000 03:05:00 -0700 (PDT)"," sbeck.nsf

We really need to develop a plan for the group.  Attached is the plan I 
prepared last year - we can use this as a starting point.  

Keith - I am going to let you take the lead on this, as it will be critical 
that our customers can reach us no matter where we are....  We can then 
discuss PCG functions that are critical to ongoing ops in case of an 
emergency.   

Let's discuss more next week once Phase 2 is launched and things settle 
down.  However, it is imperative that we develop a plan as quickly as 
possible - this tropical storm could have very easily hit Houston, and we do 
not have anything in place at the moment.

Thanks
Sheri
"
